"","Original address","Freq","Location.Address"
"1","5700 S. Maryland ",176,"5700 South Maryland "
"2","5815 S. Maryland ",126,"5815 South Maryland "
"3","6031 S. Ellis ",119,"6031 South Ellis "
"4","901 E. 58th St. ",91,"901 East 58th Street "
"5","6054 S. Drexel",86,"6054 South Drivexel"
"6","5758 S. Maryland ",84,"5758 South Maryland "
"7","5530 S. Ellis ",74,"5530 South Ellis "
"8","1100 E. 57th St. ",73,"1100 East 57th Street "
"9","850 E. 61st St. ",64,"850 East 61st Street "
"10","1414 E. 59th St. ",57,"1414 East 59th Street "
"11","5721 S. Maryland ",52,"5721 South Maryland "
"12","5500 S. University ",50,"5500 South University "
"13","970 E. 58th St. ",41,"970 East 58th Street "
"14","1005 E. 60th St. ",39,"1005 East 60th Street "
"15","5640 S. University ",39,"5640 South University "
"16","1101 E. 56th St. ",38,"1101 East 56th Street "
"17","6054 S. Drexel ",37,"6054 South Drivexel "
"18","915 E. 60th St. ",37,"915 East 60th Street "
"19","929 E. 57th St. ",36,"929 East 57th Street "
"20","5730 S. Drexel ",35,"5730 South Drivexel "
"21","5550 S. University ",34,"5550 South University "
"22","5706 S. University ",34,"5706 South University "
"23","1116 E. 59th St. ",32,"1116 East 59th Street "
"24","5840 S. Maryland ",32,"5840 South Maryland "
"25","1212 E. 59th St. ",31,"1212 East 59th Street "
"26","5807 S. Woodlawn ",31,"5807 South Woodlawn "
"27","5505 S. Ellis ",30,"5505 South Ellis "
"28","5555 S. Woodlawn ",30,"5555 South Woodlawn "
"29","5630 S. University ",28,"5630 South University "
"30","924 E. 57th St. ",28,"924 East 57th Street "
"31","5811 S. Ellis ",25,"5811 South Ellis "
"32","1362 E. 59th St. ",24,"1362 East 59th Street "
"33","860 E. 59th St. ",23,"860 East 59th Street "
"34","1111 E. 60th St. ",21,"1111 East 60th Street "
"35","5801 S. Ellis ",21,"5801 South Ellis "
"36","5730 S. Ellis ",20,"5730 South Ellis "
"37","1100 E. 58th St. ",19,"1100 East 58th Street "
"38","900 E. 57th St. ",19,"900 East 57th Street "
"39","950 E. 59th St. ",19,"950 East 59th Street "
"40","5625 S. Ellis ",18,"5625 South Ellis "
"41","5640 S. Ellis ",17,"5640 South Ellis "
"42","5800 S. Stony Island ",17,"5800 South Stony Island "
"43","5812 S. Ellis ",17,"5812 South Ellis "
"44","5841 S. Maryland ",17,"5841 South Maryland "
"45","5656 S. Maryland ",16,"5656 South Maryland "
"46","1155 E. 60th St. ",15,"1155 East 60th Street "
"47","1307 E. 60th St. ",14,"1307 East 60th Street "
"48","5835 S. Greenwood ",14,"5835 South Greenwood "
"49","850 E. 61st St.",14,"850 East 61st Street"
"50","1009 E. 57th St. ",13,"1009 East 57th Street "
"51","1155 E. 57th St. ",13,"1155 East 57th Street "
"52","5823 S. Kenwood ",13,"5823 South Kenwood "
"53","1101 E. 58th St. ",12,"1101 East 58th Street "
