,Incident,Location,Occured,Disposition,Notes,temp_inc
1,disturbance,illinois institute of technology : main campus :: 3424 s state,1/29/2015 10:43,NA,"iitpsd responded to youth connection leadership academy, for a report of a disturbance.",DISTURBANCE
2,suspicious activity,illinois institute of technology : main campus : carmen hall ,1/29/2015 12:45,NA,"iitpsd responded to farr hall, for a report of suspicious activity involving an iit student.",SUSPICION
3,administrative information,illinois institute of technology : kent campus ,1/29/2015 2:50,NA,suspected theft from the barnes & noble bookstore kent college of law.   thank you,THEFT
4,larceny/theft,illinois institute of technology : off campus location,1/28/2015 5:00,NA,iitpsd took a theft report involving an iit student at an off campus location.   thank you,THEFT
5,: injured/sick person : emergency medical transport/ambulance : student,illinois institute of technology : main campus :  : 31st street : east ,1/27/2015 7:20,NA,iitpsd responded to 31st & wabash for a student who was struck by a vehicle.   thank you,ACCIDENT
6,administrative information,illinois institute of technology : main campus,1/26/2015 9:00,NA,iitpsd responded to the 17th floor of the tower to investigate apparent tampering with documents.,OTHER
7,administrative information,illinois institute of technology :: street locations : 34th street ,1/26/2015 3:30,NA,cpd had an incident that occurred off campus that ended on campus with general public members.,OTHER
8,disturbance,illinois institute of technology :: street locations : 35th street ,1/26/2015 4:00,NA,iitpsd responded to a disturbance outside the iit tower involving members of the general public.,DISTURBANCE
9,alarm : fire,illinois institute of technology : main campus :: mccormick student village ,1/26/2015 5:40,NA,iitpsd responded to msv for an active fire alarm. it was later found that the cause of the alarm was burnt food.   thank you,ALARM
10,injured/sick person : emergency medical transport/ambulance,illinois institute of technology : main campus: 3424 s state,1/23/2015 8:55,NA,iitpsd responded to 3424 for a emergency medical transport.,MEDICAL INCIDENT
11,utility incident : elevator,illinois institute of technology : main campus,1/23/2015 12:55,NA,iitpsd personnel responded to hermann hall for an elevator entrapment.,UTILITY INCIDENT
12,injured/sick person : non-emergency medical transport,illinois institute of technology : main campus : tower ,1/23/2015 4:10,NA,iitpsd responded to the tower for an iit student non-emergency transport.,MEDICAL INCIDENT
13,suspicious activity,illinois institute of technology : main campus: mccormick student village ,1/23/2015 9:45,NA,iitpsd responded to msv for smell of marijuana.   thank you,NARCOTICS
14,injured/sick person : emergency medical transport/ambulance ,illinois institute of technology : main campus ,1/22/2015 2:26,NA,"iitpsd responded to vandercook 2, , for a delayed report of an injured faculty member, which occurred on 01/20/15.",MEDICAL INCIDENT
15,drug/narcotic offense,illinois institute of technology : main campus :: mccormick student village ,1/22/2015 5:20,NA,iitpsd responded to msv for a narcotics offense.,NARCOTICS
16,alarm : smoke,illinois institute of technology : main campus : mccormick student village ,1/22/2015 9:00,NA,iitpsd responded to msv for an activated fire alarm. it was found that students had burned food on a stove.   thank you,ALARM
17,utility incident : elevator : entrapment,illinois institute of technology : kent campus ,1/21/2015 5:18,NA,elevator entrapment at kent college of law.,UTILITY INCIDENT
18,disturbance,illinois institute of technology : main campus : mccormick tribune campus center ,1/21/2015 7:10,NA,iitpsd responded to the 7/11 for an attempted theft report by members of the general public.,THEFT
19,larceny/theft : from motor vehicle,illinois institute of technology : main campus : street locations ,1/21/2015 9:15,NA,iitpsd responded to a theft from vehicle report involving an iit student.   thank you,THEFT
20,disorderly / reckless conduct,illinois institute of technology : main campus : street locations ,1/20/2015 6:00,NA,iitpsd took a disorderly conduct report involving an iit student.     thank you,DISTURBANCE
21,disturbance,illinois institute of technology : main campus  : gunsaulus hall ,1/19/2015 10:10,NA,iitpsd responded to gunaulus hall for a disturbance involving iit students.   thank you,DISTURBANCE
22,liquor law violation,illinois institute of technology : main campus :: mccormick student village ,1/17/2015 12:53,NA,iitpsd was dispatched to mccormick student lounge east hall for an underage alcohol violation.,LIQUOR LAW VIOLATION
23,larceny/theft : other,illinois institute of technology : main campus : mccormick tribune campus center ,1/17/2015 8:30,NA,"iitpsd responded to the mccormick tribune campus center., for a report of a theft that occurred on 01/16/15.   thank you",THEFT
24,injured/sick person : emergency medical transport/ambulance ,illinois institute of technology : main campus: stuart building ,1/14/2015 11:25,NA,"iitpsd responded to stuart building, for a report of an injured employee.",MEDICAL INCIDENT
25,utility incident : elevator : entrapment,illinois institute of technology : kent campus ,1/14/2015 3:20,NA,iitpsd responded to an  elevator entrapment at kent campus.   thank you,UTILITY INCIDENT
