"","Incident","Location","Address","Lat","Long","Occured","Disposition","Notes","temp_inc","lat_long","Latitude","Longitude"
"1","disturbance","illinois institute of technology: main campus:: 3424 s state","3424 south state",NA,NA,2015-01-29 10:43:00,NA,"iitpsd responded to youth connection leadership academy, for a report of a disturbance.","DISTURBANCE","41.8325159,-87.6271296",41.8325159,-87.6271296
"2","suspicious activity","illinois institute of technology: main campus: carmen hall","60 east 32nd street",NA,NA,2015-01-29 12:45:00,NA,"iitpsd responded to farr hall, for a report of suspicious activity involving an iit student.","SUSPICION","41.8366771,-87.6246551",41.8366771,-87.6246551
"3","administrative information","illinois institute of technology: kent campus","565 west adams street",NA,NA,2015-01-29 14:50:00,NA,"suspected theft from the barnes & noble bookstore kent college of law. thank you","THEFT","41.8791377,-87.6422057",41.8791377,-87.6422057
"4","larceny/theft","illinois institute of technology: off campus location",NA,NA,NA,2015-01-28 17:00:00,NA,"iitpsd took a theft report involving an iit student at an off campus location. thank you","THEFT","NA",NA,NA
"5",": injured/sick person : emergency medical transport/ambulance : student","illinois institute of technology: main campus:: 31st street: east","31st   and  south wabash ave",NA,NA,2015-01-27 19:20:00,NA,"iitpsd responded to 31st & wabash for a student who was struck by a vehicle. thank you","ACCIDENT","41.8383211,-87.6251317",41.8383211,-87.6251317
"6","administrative information","illinois institute of technology: main campus","10 west 35th street",NA,NA,2015-01-26 09:00:00,NA,"iitpsd responded to the 17th floor of the tower to investigate apparent tampering with documents.","OTHER","41.8313959,-87.6272312",41.8313959,-87.6272312
"7","administrative information","illinois institute of technology:: street locations: 34th street",NA,NA,NA,2015-01-26 15:30:00,NA,"cpd had an incident that occurred off campus that ended on campus with general public members.","OTHER","NA",NA,NA
"8","disturbance","illinois institute of technology:: street locations: 35th street","10 west 35th street",NA,NA,2015-01-26 16:00:00,NA,"iitpsd responded to a disturbance outside the iit tower involving members of the general public.","DISTURBANCE","41.8313959,-87.6272312",41.8313959,-87.6272312
"9","alarm : fire","illinois institute of technology: main campus:: mccormick student village","3241 south wabash ave",NA,NA,2015-01-26 17:40:00,NA,"iitpsd responded to msv for an active fire alarm. it was later found that the cause of the alarm was burnt food. thank you","ALARM","41.8355909,-87.6249574",41.8355909,-87.6249574
"10","injured/sick person : emergency medical transport/ambulance","illinois institute of technology: main campus: 3424 s state","3424 south state",NA,NA,2015-01-23 08:55:00,NA,"iitpsd responded to 3424 for a emergency medical transport.","MEDICAL INCIDENT","41.8325159,-87.6271296",41.8325159,-87.6271296
"11","utility incident : elevator","illinois institute of technology: main campus","3241 south federal street",NA,NA,2015-01-23 12:55:00,NA,"iitpsd personnel responded to hermann hall for an elevator entrapment.","UTILITY INCIDENT","41.8356669,-87.6283867",41.8356669,-87.6283867
"12","injured/sick person : non-emergency medical transport","illinois institute of technology: main campus: tower","10 west 35th street",NA,NA,2015-01-23 16:10:00,NA,"iitpsd responded to the tower for an iit student non-emergency transport.","MEDICAL INCIDENT","41.8313959,-87.6272312",41.8313959,-87.6272312
