"","Incident","Location.Address","Location.Name","Date","Time","Comments...Nature.of.Fire","Disposition","UCPDI.","Occured.Start.Date","Occured.End.Date","Occured.Start.Time","Occured.End.Time","Stand_inc"
"1","/ Criminal Trespass to VehicleAssist Other Agency","6300 S. Drexel",NA,"5/17/2014","19:20","UCPD officer assisted CPD officers while they arrested a subject driving a stolen vehicle / CPD case","CPD","D00455","5/17/2014",NA,"19:20",NA,"TRESPASS"
"2","Accidental Injury","1050 E. 59th St. ","Wieboldt Hall","3/20/2015","0:18","UCPD officer injured finger while on duty / Treated and released from ER","Closed","E00191","3/19/2015",NA,"22:45",NA,"ACCIDENT"
"3","Accidental Injury","5235 S. Harper ","Office Bldg.","3/6/2014","12:12","Individual became ill, fainted in hallway  causing injury to his lip / Transported to ER by CFD EMS","Closed","D00225","3/6/2014",NA,"12:05",NA,"ACCIDENT"
"4","Accidental Injury","6054 S. Drexel",NA,"2/20/2014","5:50","Staff member injured his left foot while working / Treated and released at ER","Closed","D00180","2/19/2014",NA,"17:40",NA,"ACCIDENT"
"5","Accidental Injury","1155 E. 60th St. ","Harris School","3/6/2014","8:55","Individual walking on exterior steps slipped on wet, slippery surface, fell face down on pavement / Declined medical attention","Closed","D00224","3/6/2014",NA,"8:30",NA,"ACCIDENT"
"6","Accidental Injury","5550 S. Greenwood ","Smart Museum","5/28/2014","13:04","Child playing in courtyard fell injuring wrist / Parent took custody of child","Closed","D00495","5/28/2014",NA,"11:55",NA,"ACCIDENT"
"7","Accidental Injury","5500 S. Woodlawn",NA,"12/6/2015","21:36","Staff member cut finger in performance of duties / Transported to ER for treatment","Closed","E00817","12/6/2015",NA,"19:55",NA,"ACCIDENT"
"8","Aggravated Assault","5656 S. Maryland ","Emergency Room","3/3/2018","5:47","Subject menaced two UCM Public Safety Officers with a knife / Suspect arrested by UCPD and charged with two counts of felony aggravated assault","Arrest","18-00217","3/3/2018",NA,"5:45",NA,"ASSAULT"
"9","Aggravated Assault","800 E. 55th St. ","Friend Center","4/27/2017","9:32","During the course of an argument an individual displayed a knife placing the victim in fear of receiving bodily harm / Suspect arrested by UCPD officers","Arrest","17-00333","4/27/2017",NA,"9:30",NA,"ASSAULT"
"10","Aggravated Assault","5700 S. Maryland ","CCD","11/10/2016","3:24","Distressed patient attempted to stab a UCM Public Safety Officer with scissors before he was disarmed / Victim reported no injuries and  declined to prosecute","Ex. Cleared","16-01001","11/10/2016",NA,"3:05",NA,"ASSAULT"
"11","Aggravated Assault / Domestic","5700 S. Maryland ","CCD","1/9/2018","15:39","During a domestic argument, one brother displayed a folding knife and threatened his brother with bodily harm / Suspect detained by UCM Public Safety Officers and arrested by UCPD","Arrest","18-00034","1/9/2018",NA,"15:35",NA,"ASSAULT"
"12","Aggravated Battery","1212 E. 59th St. ","Public Way","8/19/2017","20:28","An individual became involved in an altercation while attending a festival / Several subjects struck victim with fists, one suspect struck victim on head with a bottle causing laceration / Victim transported to ER by CFD EMS, but declined treatment","Open","17-00690","8/19/2017",NA,"20:25",NA,"BATTERY"
"13","Aggravated Battery","901 E. 58th St. ","Mitchell ER","10/22/2014","19:48","Patient threw a syringe at staff member striking the victim in the hand / Suspect arrested by UCPD / Charged with Aggravated Battery on 10/23/14","Arrest","D00919","10/22/2014",NA,"19:45",NA,"BATTERY"
"14","Aggravated Battery","5530 S. Ellis ","Public Way","10/8/2017","20:52","Delayed report / Individual walking on the sidewalk with a group of associates became involved in an argument with an acquaintance / The victim was struck on the back of his head with a metal tea kettle","Open","17-00858","10/7/2017",NA,"23:00",NA,"BATTERY"
"15","Aggravated Battery","5700 S. Maryland ","CCD","10/16/2016","17:40","Individual physically interfered with medical treatment to his son and refused to leave the room / As UCPD officers attempted to escort individual from the room he struck and bit officers before being subdued / Suspect charged with 4 counts of felony aggravated battery to police officers, resisting peace officers, and criminal trespass to land","Arrest","16-00907","10/16/2016",NA,"17:40",NA,"BATTERY"
"16","Aggravated Battery","5521 S. University ","Public Way","5/14/2016","16:48","Individual walked between two subjects while walking northbound / Victim was struck from behind, falling to the sidewalk striking his nose / Transported to ER by CFD EMS for treatment","Open","16-00406","5/14/2016",NA,"16:45",NA,"BATTERY"
"17","Aggravated Battery","5700 S. Maryland ","CCD","8/21/2014","14:57","Individual struck a patient / Arrested by UCPD officers","Arrest","D00750","8/21/2014",NA,"12:15",NA,"BATTERY"
"18","Aggravated Battery","5550 S. University ","Crown Field House","1/20/2016","22:32","Individual, who had been warned repeatedly, both orally and in writing, not to trespass on University property, armed with a chemical spray devise, used the devise to spray UCPD officers in the face as they attempted to escort suspect from the property / Suspect taken into custody / Officers treated for injury by CFD EMS / Suspect transported to ER for treatment","Arrest","16-00071","1/20/2016",NA,"22:32",NA,"BATTERY"
