"","Original.address","Latitutde","Longitude"
"1","5700 S. Maryland ",41.7910678,-87.6049507
"2","5815 S. Maryland ",41.7892116,-87.6040662
"3","6031 S. Ellis ",41.7850698,-87.6003337
"4","901 E. 58th St. ",41.7895211,-87.6042491
"5","6054 S. Drexel",41.7846534,-87.6048595
"6","5758 S. Maryland ",41.7901233,-87.6055479
"7","5530 S. Ellis ",41.794474,-87.6016284
"8","1100 E. 57th St. ",41.7922117,-87.5995726
"9","850 E. 61st St. ",41.7846191,-87.6052002
"10","1414 E. 59th St. ",41.7882484,-87.5909839
"11","5721 S. Maryland ",41.7901841,-87.6045875
"12","5500 S. University ",41.7948242,-87.5975921
"13","970 E. 58th St. ",41.7897444,-87.6015497
"14","1005 E. 60th St. ",41.7854005,-87.6002883
"15","5640 S. University ",41.7919788,-87.5983645
"16","1101 E. 56th St. ",41.7929725,-87.5999293
"17","6054 S. Drexel ",41.7846534,-87.6048595
"18","915 E. 60th St. ",41.7850467,-87.6034787
"19","929 E. 57th St. ",41.7911308,-87.6027497
"20","5730 S. Drexel ",41.7903948,-87.6038772
"21","5550 S. University ",41.7935817,-87.5989699
"22","5706 S. University ",41.7912712,-87.5981928
"23","1116 E. 59th St. ",41.7879664,-87.5995364
"24","5840 S. Maryland ",41.7888793,-87.6049986
"25","1212 E. 59th St. ",41.7880686,-87.5956212
"26","5807 S. Woodlawn ",41.7891369,-87.5954551
"27","5505 S. Ellis ",41.794575,-87.601637
"28","5555 S. Woodlawn ",41.7935134,-87.5960709
"29","5630 S. University ",41.7927938,-87.5984305
"30","924 E. 57th St. ",41.7919425,-87.6028399
"31","5811 S. Ellis ",41.7889661,-87.6009319
"32","1362 E. 59th St. ",41.7880278,-87.5939404
"33","860 E. 59th St. ",41.7878852,-87.6041299
"34","1111 E. 60th St. ",41.7851676,-87.5985919
"35","5801 S. Ellis ",41.7895762,-87.6009324
"36","5730 S. Ellis ",41.790225,-87.602556
"37","1100 E. 58th St. ",41.7901748,-87.5991412
"38","900 E. 57th St. ",41.7916469,-87.6034081
"39","950 E. 59th St. ",41.7878636,-87.6021173
"40","5625 S. Ellis ",41.7929823,-87.6010032
"41","5640 S. Ellis ",41.7920395,-87.6017426
"42","5800 S. Stony Island ",41.7896629,-87.5873315
"43","5812 S. Ellis ",41.7891768,-87.6019508
"44","5841 S. Maryland ",41.7883128,-87.6045656
"45","5656 S. Maryland ",41.791573,-87.605226
"46","1155 E. 60th St. ",41.785371,-87.5970764
"47","1307 E. 60th St. ",41.7856991,-87.5939369
"48","5835 S. Greenwood ",41.7884006,-87.5990993
"49","850 E. 61st St.",41.7846191,-87.6052002
"50","1009 E. 57th St. ",41.7910784,-87.6005453
"51","1155 E. 57th St. ",41.791235,-87.597702
"52","5823 S. Kenwood ",41.7894411,-87.5928086
"53","1101 E. 58th St. ",41.7889722,-87.5992628
"54","1131 E. 57th St. ",41.791237,-87.5982604
"55","5735 S. Ellis ",41.7904919,-87.6009826
"56","5800 S. Greenwood ",41.7932161,-87.5998069
"57","821 E. 55th St. ",41.7949629,-87.6056934
"58","1020 E. 58th St. ",41.7900088,-87.60021
"59","1155 E. 58th St. ",41.7892417,-87.5974905
"60","5639 S. University ",41.792015,-87.597722
"61","800 E. 55th St. ",41.7955712,-87.6056858
"62","1050 E. 59th St. ",41.788697,-87.6006031
"63","1118 E. 58th St. ",41.7895621,-87.601259
"64","5709 S. Ellis ",41.7909811,-87.6011781
"65","5757 S. University ",41.7899183,-87.5973411
"66","5848 S. University ",41.788274,-87.598276
"67","6025 S. Ellis ",41.7853228,-87.6006607
"68","920 E. 58th St. ",41.7898637,-87.6027667
"69","1010 E. 59th St. ",41.7879118,-87.6008291
"70","5555 S. Ellis ",41.793465,-87.601631
