building,address
Alumni Memorial,3201 South Dearborn street
alumni hall,3201 South Dearborn street
S. R. Crown Hall,3360 South State street
crown hall,3360 South State street
John T. Rettaliata Engineering Center,10 West 32nd street
rettaliata center,10 West 32nd street
rettaliata engineering,10 West 32nd street
Robert A. Pritzker Science Center,3105 South Dearborn street
life science,3105 South Dearborn street
Perlstein Hall,10 West 33rd street
perlstein,10 West 33rd street
Siegel Hall,3301 South Dearborn street
siegel,3301 South Dearborn street
Stuart Building,10 West 31st street
Wishnick Hall,3255 South Dearborn street
wishnik,3255 South Dearborn street
Keating Hall,3040 South Wabash ave
keating,3040 South Wabash ave
Heating Plant,3430 South Federal street
Machinery Hall,100 West 33rd street
Alpha Epsilon Pi,3350 South Michigan ave
epsilon,3350 South Michigan ave
Alpha Sigma Alpha,3340 South Michigan ave
asa,3340 South Michigan ave
sigma alpha,3340 South Michigan ave
Alpha Sigma Phi,3361 South Wabash ave
sigma phi,3361 South Wabash ave
asp,3361 South Wabash ave
Delta Tau Delta,3349 South Wabash ave
dtd,3349 South Wabash ave
tau delta,3349 South Wabash ave
Kappa Phi Delta,3330 South Michigan ave
phi delta,3330 South Michigan ave
Phi Kappa Sigma,3366 South Michigan ave
pks,3366 South Michigan ave
kappa sigma,3366 South Michigan ave
Pi Kappa Phi,3333 South Wabash ave
kappa phi,3333 South Wabash ave
pkp,3333 South Wabash ave
Triangle,3360 South Michigan ave
tri,3360 South Michigan ave
Materials & Metals Building,3350 South Federal street
metals building,3350 South Federal street
vandercook 2,3125 south federal street
Vandercook,3140 South Federal street
East Hall,71 East 32nd street
msv – east,71 East 32nd street
Fowler Hall,3241 South Wabash ave
msv – fowler,3241 South Wabash ave
fowler,3241 South Wabash ave
McCormick Lounge,3241 South Wabash ave
mccormick student village,3241 South Wabash ave
student village,3241 South Wabash ave
Graduate Hall,70 East 33rd street
msv – graduate,70 East 33rd street
Lewis Hall,70 East 33rd street
msv – lewis,70 East 33rd street
North Hall,71 East 32nd street
msv – north,71 East 32nd street
Residence - Dining,71 East 32nd street
South Hall,71 East 32nd street
State Street Village,3301 South State
ssv middle,3333 south state
ssv north,3303 south state
ssv south,3353 south state
Bailey Hall,3101 South Wabash ave
Carman Hall,60 East 32nd street
carmen hall,60 East 32nd street
Cunningham Hall,3100 South Michigan ave
Gunsaulus,3140 South Michigan ave
Auto Lab,3240 South Federal street
Carr Chapel,65 East 32nd street
chapel,65 East 32nd street
Farr Hall,3300 South Michigan ave
Galvin Library,35 West 33rd street
Hermann Hall,3241 South Federal street
hermann,3241 South Federal street
hub,3241 South Federal street
Main Building,3300 South Federal street
The Commons,3200 South Wabash ave
McCormick Tribune Campus Center,3201 South State street
mtcc,3201 South State street
Technology Business Center,3440 South Dearborn street
Incubator,3440 South Dearborn street
engineering research,55 w 34th street
IIT Tower,10 West 35th street
tower,10 West 35th street
IITRI Life Sciences Research,35 West 34th street
life science research,35 West 34th street
iitri,35 West 34th street
Technology Park - Central,3424 South State street
Technology Park - South,3424 South State street
Technology Park - North,3424 South State street
technology park,3424 South State street
shimer college,3424 South State street
Kent campus,    565 West Adams Street      
soccer field,31st street and south federal street
rice campus,"201 E Loop Rd, Wheaton, IL"
moffett campus,"6502 South Archer Rd. Bedford Park, IL"
