"","Incident","Location.Address","Location.Name","Date","Time","Comments...Nature.of.Fire","Disposition","UCPDI.","Occured Start Date","Occured End Date","Occured Start Time","Occured End Time"
"1","Information / Burglary","5747 S. University ","Fraternity House","1/1/14","03:50","Unknown person entered residence via unsecured window / forced entry to rooms and took property / CPD case","CPD","D00001","12/31/13","1/1/14","22:00","01:30"
"2","Domestic Battery","Dorchester between 61st & 62nd",NA,"1/1/14","22:20","During the course of an argument, male suspect struck his girlfriend with his fists / Arrested by UCPD officers","Arrest","D00002","1/1/14",NA,"22:10",NA
"3","Theft","947 E. 58th St. ","Abbott Hall","1/2/14","17:22","Unattended iPhone left on desk top of unsecured office was taken by an unknown person","Open","D00003","1/2/14",NA,"16:10","16:35"
"4","Lost Property","5815 S. Maryland ","Mitchell Hospital","1/3/14","08:29","Patient reported loss of wallet / Wallet was later found intact","Closed","D00004","1/2/14","1/3/14","22:00","08:20"
"5","Warrant Arrest","5500 S. Lake Park",NA,"1/4/14","13:01","Subsequent to a stop for a traffic violation, UCPD officer arrested a motorist for a warrant issued by the Cook County Sheriff's Office","Arrest","D00005","1/4/14",NA,"13:01",NA
"6","Theft","5835 S. Drexel ","Gilman Smith Hospital","1/4/14","20:21","Unattended iPhone and laptop computer taken from desktop in unsecured office","Open","D00006","1/4/14",NA,"18:00","20:00"
"7","Information","6054 S. Drexel",NA,"1/6/14","08:03","Minor damage reported to UC owned vehicle","Closed","D00007","1/6/14",NA,"07:40",NA
"8","Information","Ingleside between 54th & 55th",NA,"1/6/14","17:39","Information relating to a domestic dispute and an out-of-state restraining order","Closed","D00009","12/27/13","12/29/13","12:00","00:00"
"9","Theft","5530 S. Ellis ","Ratner A.C.","1/7/14","11:18","Unknown person(s) took cash from unattended envelopes left in unsecured office","Open","D00010","12/19/13","12/30/13","22:00","11:00"
"10","Information","1116 E. 59th St. ","Harper","1/7/14","12:03","Unknown person(s) hung a banner in a reading room after gaining unauthorized entry","Closed","D00011","1/4/14","1/7/14","14:30","08:15"
"11","Information / Medical Call","58th near Dorchester",NA,"1/7/14","20:18","Ill person transported to ER by CFD EMS","Closed","D00012","1/7/14",NA,"20:18",NA
