"","Incident","Location","Reported","Occurred","Comments / Nature of Fire","Disposition","UCPDI#"
"1","Information / Burglary","5747 S. University (Fraternity House)","1/1/14 3:50 AM","12/31/13 to 1/1/14 10:00 PM to 1:30 AM","Unknown person entered residence via unsecured window / forced entry to rooms and took property / CPD case","CPD","D00001"
"2","Domestic Battery","Dorchester between 61st & 62nd","1/1/14 10:20 PM","1/1/14 10:10 PM","During the course of an argument, male suspect struck his girlfriend with his fists / Arrested by UCPD officers","Arrest","D00002"
"3","Theft","947 E. 58th St. (Abbott Hall)","1/2/14 5:22 PM","1/2/14 4:10 PM to 4:35 PM","Unattended iPhone left on desk top of unsecured office was taken by an unknown person","Open","D00003"
"4","Lost Property","5815 S. Maryland (Mitchell Hospital)","1/3/14 8:29 AM","1/2/14 to 1/3/14 10:00 PM to 8:20 AM","Patient reported loss of wallet / Wallet was later found intact","Closed","D00004"
"5","Warrant Arrest","5500 S. Lake Park","1/4/14 1:01 PM","1/4/14 1:01 PM","Subsequent to a stop for a traffic violation, UCPD officer arrested a motorist for a warrant issued by the Cook County Sheriff's Office","Arrest","D00005"
"6","Theft","5835 S. Drexel (Gilman Smith Hospital)","1/4/14 8:21 PM","1/4/14 6:00 PM to 8:00 PM","Unattended iPhone and laptop computer taken from desktop in unsecured office","Open","D00006"
"7","No reports this date","","","","","",""
"8","Information","6054 S. Drexel","1/6/14 8:03 AM","1/6/14 7:40 AM","Minor damage reported to UC owned vehicle","Closed","D00007"
"9","Void","Void","Void","Void","Number generated in error","Void","D00008"
"10","Information","Ingleside between 54th & 55th","1/6/14 5:39 PM","12/27/13 to 12/29/13 12:00 PM to 12:00 AM","Information relating to a domestic dispute and an out-of-state restraining order","Closed","D00009"
"11","Theft","5530 S. Ellis (Ratner A.C.)","1/7/14 11:18 AM","12/19/13 to 12/30/13 10:00 PM to 11:00 AM","Unknown person(s) took cash from unattended envelopes left in unsecured office","Open","D00010"
"12","Information","1116 E. 59th St. (Harper)","1/7/14 12:03 PM","1/4/14 to 1/7/14 2:30 PM to 8:15 AM","Unknown person(s) hung a banner in a reading room after gaining unauthorized entry","Closed","D00011"
"13","Information / Medical Call","58th near Dorchester","1/7/14 8:18 PM","1/7/14 8:18 PM","Ill person transported to ER by CFD EMS","Closed","D00012"
"14","Traffic Accident / Property Damage","6400 S. Woodlawn","1/8/14 6:28 AM","1/8/14 6:25 AM","UC shuttle bus slid on icy surface and struck a parked vehicle / Property damage only / No injuries / MVA00174","Closed","D00013"
"15","Information / Burglary","Harper between 54th & 55th","1/8/14 7:03 PM","1/8/14 8:00 AM to 6:30 PM","Unknown person(s) forced entry to off-campus private apartment / Took laptop and tablet computers / CPD case HX107433","CPD","D00014"
"16","Burglary","5709 S. Ellis (Snell)","1/8/14 8:35 PM","1/8/14 3:30 PM to 8:30 PM","Unknown person(s) unlawfully entered rooms and took 4 laptop computers Suspect arrested subsequent to UCPD investigation and charged with burglary on 4/29/14","Arrest","D00015"
"17","Information / Dog Bite","1749 E. 55th St.","1/8/14 10:18 PM","1/8/14 5:00 PM","Woman reported she was bitten on the leg by a dog being walked by another person / Refused medical attention / CPD case","CPD","D00016"
"18","Traffic Accident / Property Damage","5830 S. Ellis","1/9/14 2:30 PM","1/9/14 1:45 PM","UC owned vehicle involved in a traffic accident / Property damage / No injuries","Closed","D00017"
"19","Information","1101 E. 58th St. (Rosenwald)","1/9/14 6:40 PM","1/9/14 6:30 PM","Flooding reported in basement due to a leaking radiator pipe / Facilities Dept. on the scene","Closed","D00018"
"20","Theft","6031 S. Ellis (SCRH)","1/10/14 11:03 AM","1/10/14 1:00 AM to 10:00 AM","Unattended laptop computer left in 5th floor lounge was taken by an unknown person","Open","D00019"
"21","Theft","5758 S. Maryland (DCAM)","1/10/14 12:05 PM","12/24/13 to 1/9/14 12:30 PM to 2:00 PM","7 Visa gift cards left in unlocked desk drawer were taken by an unknown person","Open","D00020"
"22","Criminal Damage to Property","1118 E. 58th St. (Eckhart Hall)","1/10/14 4:35 PM","1/6/14 to 1/10/14 5:00 PM to 4:00 PM","Locks were cut from two empty lockers in the basement","Open","D00021"
"23","Information","1101 E. 58th St. (Rosenwald)","1/10/14 4:53 PM","1/10/14 4:50 PM","Water leaked through the ceiling of two rooms on the 3rd floor causing damage to the ceiling and flooding on the floor / Facilities Dept. on the scene","Closed","D00022"
"24","Medical Call","5836 S. Greenwood (Haskell Hall)","1/10/14 7:05 PM","1/10/14 7:05 PM","Individual became ill after consuming alcoholic beverages was transported to the hospital by CFD EMS","Closed","D00023"
"25","Warrant Arrest","1449 E. 53rd St.","1/11/14 2:44 AM","1/11/14 2:44 AM","UCPD officer responding to a disturbance call discovered male subject was wanted on an a warrant from Cook County","Arrest","D00024"
"26","Medical Call","5630 S. University (Max Palevsky)","1/11/14 4:41 AM","1/11/14 4:41 AM","Individual dislocated his shoulder while sleeping / Transported to ER by CFD EMS","Closed","D00025"
"27","Fire / Property Damage","1307 E. 60th St. (New Graduate Residence Hall- 2nd Floor)","1/11/14 1:15 PM","1/11/14 12:30 PM","Resident noticed electrical fire in the kitchen range hood / Resident extinguished fire with a fire extinguisher / Minor property damage, no injuries / CFD, UC Facilities, and UC Safety responded","Closed","D00026"
"28","Liquor Law Violation","6031 S. Ellis (SCRH)","1/12/14 1:24 AM","1/11/14 11:00 PM","Underage individual became ill after consuming alcoholic beverages / Transported to ER by CFD EMS","Referred","D00027"
"29","Robbery","5700 S. Maryland (Public Way)","1/12/14 5:12 PM","1/12/14 5:00 PM","Unknown male forcibly took cell phone from a woman walking on the sidewalk and fled on foot","Open","D00028"
"30","Theft","5758 S. Maryland (DCAM)","1/13/14 8:01 AM","1/9/14 3:00 PM to 3:20 PM","Unknown person took unattended Apple ear buds and UC ID card from desktop in unsecured office","Open","D00029"
"31","Information","5734 S. Ellis (Public Way)","1/13/14 12:19 PM","1/13/14 12:19 PM","Car struck bicycle in crosswalk / Cyclist reported no injuries and declined medical attention","Closed","D00030"
"32","Traffic Accident","1145 E. 55th St.","1/13/14 4:36 PM","1/13/14 4:36 PM","Traffic accident MVA00192","Closed","D00031"
"33","Traffic Accident","State St. & Roosevelt Rd.","1/13/14 7:05 PM","1/13/14 7:05 PM","UC owned vehicle involved in traffic accident / CPD HX113417","Closed","D00032"
"34","Information / Aggravated Robbery","University between 53rd & 54th","1/14/14 12:20 AM","1/12/14 11:10 PM","Delayed report - Unknown male, implying he had a weapon, took a wallet from a man walking on the sidewalk off campus / CPD case","CPD","D00033"
"35","Found Property","1101 E. 56th St. (Max Palevsky)","1/14/14 8:58 AM","1/14/14 8:30 AM","A bag of suspect cannabis was found in the hallway and turned over to UCPD","Closed","D00034"
"36","Theft","850 E. 58th St. (American School)","1/14/14 2:13 PM","12/5/13 to 1/9/14 11:00  AM to 1:00 PM","Unattended laptop stored in unsecured room was taken by an unknown person","Open","D00035"
"37","Burglary","5801 S. Ellis (Levi Hall construction area)","1/14/14 2:14 PM","1/14/14 2:14 PM","Contractor observed man taking electrical cords and construction material from secured work area / Suspect ran to a waiting vehicle that sped off but was stopped by UCPD officers / Arrest","Arrest","D00036"
"38","Traffic Accident","5641 S. Woodlawn","1/14/14 6:56 PM","1/14/14 6:56 PM","Traffic crash involving a UC bus / CPD report HX114680","Closed","D00037"
"39","Traffic Accident","5700 S. Woodlawn","1/14/14 9:51 PM","1/14/14 5:40 PM","Traffic crash involving a UC bus / MVA00193","Closed","D00038"
"40","Warrant Arrest","5900 S. Stony Island","1/14/14 10:11 PM","1/14/14 10:11 PM","Upon stopping a car for a traffic violation, UCPD officer discovered the rental car had been reported stolen from Wisconsin and the driver was wanted for a parole violation from the state of Indiana / Arrest","Arrest","D00039"
"41","Weapon Turn-In","65th St. between Harper and Stony Island","1/15/14 2:15 PM","1/15/14 2:15 PM","Individual called UCPD to turn in a handgun / Weapon inventoried at UCPD","Closed","D00040"
"42","Information","6031 S. Ellis (SCRH)","1/15/14 3:07 PM","1/15/14 3:00 PM","Individual found his bicycle that had been stolen in October 2013, but not reported to the police / Serial number on bike matched sales receipt","Closed","D00041"
